film2 fold · exposure table · proof/film2-fold/strip-final
frames: 74  (220 … 293)

  sec     p99   median  contrast  blowout   verdict
   220  0.996   0.196    0.800    0.087   ok
   221  0.996   0.196    0.800    0.087   ok
   222  0.996   0.196    0.800    0.087   ok
   223  0.996   0.196    0.800    0.087   ok
   224  0.996   0.196    0.800    0.087   ok
   225  0.996   0.196    0.800    0.087   ok
   226  0.996   0.196    0.800    0.087   ok
   227  0.996   0.196    0.800    0.087   ok
   228  0.996   0.196    0.800    0.087   ok
   229  0.984   0.031    0.953    0.023   ok
   230  0.996   0.078    0.918    0.062   ok
   231  1.000   0.102    0.898    0.079   ok
   232  0.980   0.098    0.882    0.037   ok
   233  0.980   0.094    0.886    0.032   ok
   234  0.941   0.078    0.863    0.018   ok
   235  0.965   0.071    0.894    0.021   ok
   236  0.957   0.067    0.890    0.021   ok
   237  0.694   0.012    0.682    0.003   ok
   238  0.757   0.012    0.745    0.004   ok
   239  0.784   0.008    0.776    0.003   ok
   240  0.714   0.004    0.710    0.002   ok
   241  0.706   0.000    0.706    0.002   ok
   242  0.639   0.000    0.639    0.001   ok
   243  0.631   0.000    0.631    0.001   ok
   244  0.616   0.000    0.616    0.001   ok
   245  0.620   0.000    0.620    0.001   ok
   246  0.620   0.000    0.620    0.000   ok
   247  0.631   0.000    0.631    0.000   ok
   248  0.627   0.000    0.627    0.000   ok
   249  0.631   0.000    0.631    0.000   ok
   250  0.655   0.051    0.604    0.000   ok
   251  0.643   0.043    0.600    0.000   ok
   252  0.914   0.263    0.651    0.011   ok
   253  0.906   0.251    0.655    0.010   ok
   254  0.973   0.400    0.573    0.032   LIFTED
   255  0.973   0.357    0.616    0.036   LIFTED
   256  0.937   0.271    0.667    0.014   ok
   257  0.937   0.263    0.674    0.014   ok
   258  0.941   0.271    0.671    0.015   ok
   259  0.941   0.278    0.663    0.016   ok
   260  0.949   0.278    0.671    0.017   ok
   261  0.953   0.275    0.678    0.018   ok
   262  0.953   0.271    0.682    0.019   ok
   263  0.949   0.259    0.690    0.019   ok
   264  0.953   0.259    0.694    0.018   ok
   265  0.957   0.263    0.694    0.024   ok
   266  0.965   0.278    0.686    0.031   ok
   267  0.969   0.294    0.674    0.038   ok
   268  0.973   0.310    0.663    0.047   LIFTED
   269  0.980   0.333    0.647    0.054   LIFTED
   270  0.980   0.345    0.635    0.058   LIFTED
   271  0.992   0.820    0.172    0.361   FLAT BLOWN LIFTED
   272  0.980   0.710    0.271    0.081   LIFTED
   273  0.980   0.682    0.298    0.066   LIFTED
   274  0.973   0.659    0.314    0.057   LIFTED
   275  0.969   0.639    0.329    0.052   LIFTED
   276  0.965   0.624    0.341    0.044   LIFTED
   277  0.961   0.608    0.353    0.042   LIFTED
   278  0.961   0.608    0.353    0.040   LIFTED
   279  0.961   0.608    0.353    0.039   LIFTED
   280  0.961   0.608    0.353    0.040   LIFTED
   281  0.961   0.608    0.353    0.040   LIFTED
   282  0.961   0.608    0.353    0.042   LIFTED
   283  0.961   0.608    0.353    0.043   LIFTED
   284  0.961   0.608    0.353    0.042   LIFTED
   285  0.961   0.608    0.353    0.039   LIFTED
   286  0.961   0.608    0.353    0.038   LIFTED
   287  0.961   0.608    0.353    0.038   LIFTED
   288  0.961   0.608    0.353    0.040   LIFTED
   289  0.961   0.608    0.353    0.041   LIFTED
   290  0.961   0.608    0.353    0.041   LIFTED
   291  0.961   0.608    0.353    0.040   LIFTED
   292  0.961   0.608    0.353    0.038   LIFTED
   293  0.961   0.608    0.353    0.037   LIFTED

FLAT   = contrast (p99-median) < 0.25 — white-on-white, silhouette cannot read
BLOWN  = >12% of pixels above 0.9 luma — the star is larger than its parish
LIFTED = median > 0.30 — background is no longer deep dark violet
