film2 fold · exposure table · proof/film2-fold/strip-finale
frames: 49  (245 … 293)

  sec     p99   median  contrast  blowout   verdict
   245  0.620   0.000    0.620    0.000   ok
   246  0.616   0.000    0.616    0.000   ok
   247  0.608   0.000    0.608    0.000   ok
   248  0.596   0.000    0.596    0.000   ok
   249  0.620   0.004    0.616    0.000   ok
   250  0.663   0.051    0.612    0.000   ok
   251  0.667   0.043    0.624    0.001   ok
   252  0.922   0.271    0.651    0.012   ok
   253  0.906   0.251    0.655    0.011   ok
   254  0.973   0.408    0.565    0.027   LIFTED
   255  0.973   0.365    0.608    0.039   LIFTED
   256  0.937   0.271    0.667    0.013   ok
   257  0.937   0.263    0.674    0.014   ok
   258  0.941   0.271    0.671    0.014   ok
   259  0.945   0.278    0.667    0.015   ok
   260  0.949   0.278    0.671    0.015   ok
   261  0.949   0.275    0.674    0.016   ok
   262  0.949   0.271    0.678    0.017   ok
   263  0.949   0.259    0.690    0.017   ok
   264  0.953   0.259    0.694    0.019   ok
   265  0.961   0.263    0.698    0.024   ok
   266  0.965   0.278    0.686    0.030   ok
   267  0.969   0.290    0.678    0.036   ok
   268  0.973   0.314    0.659    0.044   LIFTED
   269  0.980   0.329    0.651    0.050   LIFTED
   270  0.980   0.345    0.635    0.055   LIFTED
   271  0.992   0.835    0.157    0.388   FLAT BLOWN LIFTED
   272  0.984   0.714    0.271    0.085   LIFTED
   273  0.980   0.682    0.298    0.066   LIFTED
   274  0.973   0.659    0.314    0.057   LIFTED
   275  0.965   0.639    0.326    0.051   LIFTED
   276  0.961   0.616    0.345    0.041   LIFTED
   277  0.937   0.212    0.726    0.020   ok
   278  0.922   0.200    0.722    0.013   ok
   279  0.894   0.000    0.894    0.010   ok
   280  0.577   0.000    0.577    0.001   ok
   281  0.200   0.000    0.200    0.000   FLAT
   282  0.894   0.000    0.894    0.010   ok
   283  0.910   0.004    0.906    0.011   ok
   284  0.965   0.012    0.953    0.016   ok
   285  0.984   0.016    0.969    0.023   ok
   286  0.792   0.004    0.788    0.006   ok
   287  0.820   0.004    0.816    0.007   ok
   288  0.902   0.008    0.894    0.010   ok
   289  0.000   0.000    0.000    0.000   FLAT
   290  0.000   0.000    0.000    0.000   FLAT
   291  0.000   0.000    0.000    0.000   FLAT
   292  0.000   0.000    0.000    0.000   FLAT
   293  0.973   0.043    0.929    0.020   ok

FLAT   = contrast (p99-median) < 0.25 — white-on-white, silhouette cannot read
BLOWN  = >12% of pixels above 0.9 luma — the star is larger than its parish
LIFTED = median > 0.30 — background is no longer deep dark violet
